logLocation,logLevel,logStackTrace,exceptionType,exceptionCategory,exceptionSource,exceptionNum,exceptionMethodCall,exceptionMethodSource,exceptionMethodNum,catchInLoop,isLogInInnerLoop,isLogInInnerBranch,isLogInInnerTryBlock,throwInCatchBlock,returnInCatchBlock,throwInTryBlock,returnInTryBlock,numMethodCallsBeforeLogging,numMethodCallsAfterLogging,LOCBeforeLogging,LOCAfterLogging,numMethodCallsInTryBlock
ServiceShutdownHook.java:73,info,true,IllegalStateException,RUNTIME,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,false,false,false,false,false,0,0,0,0,2
ServiceShutdownHook.java:107,info,true,Throwable,NORMAL,FROMJDK,1,Service.stop,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,0,1
BaseLogParser.java:113,debug,true,DataFieldNotFoundException,NORMAL,FROMPROJECT,1,BaseLogParser.parseLine,FROMPROJECT,1,true,false,false,false,false,false,false,false,0,0,0,0,1
BaseLogParser.java:115,debug,true,ParseException,NORMAL,FROMJDK,1,BaseLogParser.parseLine,FROMPROJECT,1,true,false,false,false,false,false,false,false,0,0,0,0,1
WebApp.java:110,info,true,InterruptedException,NORMAL,FROMJDK,1,HttpServer2.join,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,0,2
JsonSerDeser.java:89,error,true,IOException,NORMAL,FROMJDK,1,ObjectMapper.readValue,FROMLIBRARY,1,false,false,false,false,true,false,false,true,0,0,0,1,1
JsonSerDeser.java:107,error,true,IOException,NORMAL,FROMJDK,1,ObjectMapper.readValue,FROMLIBRARY,1,false,false,false,false,true,false,false,true,0,0,0,1,1
JsonSerDeser.java:127,error,true,IOException,NORMAL,FROMJDK,1,ObjectMapper.readValue,FROMLIBRARY,1,false,false,false,false,true,false,true,true,0,0,0,1,1
JsonSerDeser.java:142,error,true,IOException,NORMAL,FROMJDK,1,ObjectMapper.readValue,FROMLIBRARY,1,false,false,false,false,true,false,false,true,0,0,0,1,1
IOUtils.java:324,debug,true,IOException,NORMAL,FROMJDK,1,Socket.close,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,1
IOUtils.java:504,warn,true,Throwable,NORMAL,FROMJDK,1,MultiMethods,FROMJDK,2,false,false,false,false,true,false,false,true,0,0,0,1,3
MapFile.java:511,warn,false,EOFException,NORMAL,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,false,false,false,true,false,0,0,0,0,9
HttpServer2.java:1136,info,true,IOException,NORMAL,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,false,true,false,false,false,0,0,0,1,2
HttpServer2.java:1139,info,true,MultiException,NORMAL,FROMLIBRARY,1,UnknownMethod,UnknownMethod,0,false,false,false,false,true,false,false,false,0,0,0,1,2
HttpServer2.java:1292,error,true,Exception,NORMAL,FROMJDK,1,ServerConnector.close,FROMLIBRARY,1,true,false,false,false,false,false,false,false,0,1,0,1,1
HttpServer2.java:1306,error,true,Exception,NORMAL,FROMJDK,1,AbstractLifeCycle.stop,FROMLIBRARY,1,false,false,false,false,false,false,false,false,0,1,0,1,3
HttpServer2.java:1314,error,true,Exception,NORMAL,FROMJDK,1,AbstractLifeCycle.stop,FROMLIBRARY,1,false,false,false,false,false,false,false,false,0,1,0,1,1
ITestS3AInputStreamPerformance.java:91,warn,true,IOException,NORMAL,FROMJDK,1,S3AFileSystem.getFileStatus,FROMPROJECT,1,false,false,false,false,true,false,false,false,0,0,0,1,1
ServiceRegistryUtils.java:110,error,true,NamingException,NORMAL,FROMJDK,1,MultiMethods,FROMJDK,2,false,false,false,false,false,false,false,true,0,0,0,0,2
TestLinuxContainerExecutor.java:459,warn,true,MultiExceptions,NORMAL,MIXED,2,TestLinuxContainerExecutor.runAndBlock,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,0,1
ZKFailoverController.java:196,error,true,KeeperException,NORMAL,FROMLIBRARY,1,ZKFailoverController.initZK,FROMPROJECT,1,false,false,false,false,false,true,false,false,0,0,0,1,1
ZKFailoverController.java:223,error,true,Exception,NORMAL,FROMJDK,1,ZKFailoverController.formatZK,FROMPROJECT,1,false,false,false,false,true,false,false,true,0,0,0,1,6
ZKFailoverController.java:237,error,true,BadFencingConfigurationException,NORMAL,FROMPROJECT,1,HAServiceTarget.checkFencingConfigured,FROMPROJECT,1,false,false,false,false,false,true,false,false,0,0,0,1,1
ZKFailoverController.java:249,error,true,Exception,NORMAL,FROMJDK,1,MultiMethods,FROMPROJECT,3,false,false,false,false,true,false,false,false,0,0,0,1,4
ZKFailoverController.java:281,error,true,IOException,NORMAL,FROMJDK,1,ActiveStandbyElector.clearParentZNode,FROMPROJECT,1,false,false,false,false,false,true,false,false,0,0,0,1,1
ZKFailoverController.java:303,debug,true,IOException,NORMAL,FROMJDK,1,ToolRunner.confirmPrompt,FROMPROJECT,1,false,false,false,false,false,true,false,true,0,0,0,1,1
ZKFailoverController.java:398,error,true,Throwable,NORMAL,FROMJDK,1,MultiMethods,FROMPROJECT,2,false,false,false,false,true,false,false,false,0,2,1,19,6
ZKFailoverController.java:497,error,true,Exception,NORMAL,FROMJDK,1,MultiMethods,FROMPROJECT,2,false,false,false,false,false,false,false,false,0,0,0,2,5
ZKFailoverController.java:532,error,true,BadFencingConfigurationException,NORMAL,FROMPROJECT,1,HAServiceTarget.checkFencingConfigured,FROMPROJECT,1,false,false,false,false,true,false,false,false,0,1,0,2,1
ZKFailoverController.java:584,warn,false,IOException,NORMAL,FROMJDK,1,MultiMethods,FROMPROJECT,2,false,false,false,false,false,false,false,false,0,1,0,3,4
ZKFailoverController.java:586,warn,false,IOException,NORMAL,FROMJDK,1,MultiMethods,FROMPROJECT,2,false,false,false,false,false,false,false,false,2,0,2,1,4
FailoverController.java:126,error,true,IOException,NORMAL,FROMJDK,1,MultiMethods,FROMPROJECT,2,false,false,false,false,true,false,false,false,0,0,1,1,2
FailoverController.java:175,warn,false,ServiceFailedException,NORMAL,FROMPROJECT,1,HAServiceProtocol.transitionToStandby,FROMPROJECT,1,false,false,false,false,false,false,false,true,0,0,0,0,3
FailoverController.java:178,warn,true,IOException,NORMAL,FROMJDK,1,MultiMethods,FROMPROJECT,2,false,false,false,false,false,false,false,true,0,0,0,0,3
FailoverController.java:230,error,false,ServiceFailedException,NORMAL,FROMPROJECT,1,UnknownMethod,UnknownMethod,0,false,false,false,false,false,false,false,false,0,0,0,2,3
FailoverController.java:235,error,true,IOException,NORMAL,FROMJDK,1,MultiMethods,FROMPROJECT,2,false,false,false,false,false,false,false,false,0,0,0,2,3
FailoverController.java:255,error,false,FailoverFailedException,NORMAL,FROMPROJECT,1,FailoverController.failover,FROMPROJECT,1,false,false,false,false,false,false,false,false,1,0,2,0,1
HAAdmin.java:401,debug,true,IOException,NORMAL,FROMJDK,1,HAAdmin.runCmd,FROMPROJECT,1,false,false,false,false,false,true,false,true,3,0,2,2,1
AbstractService.java:413,warn,true,Throwable,NORMAL,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,false,false,false,false,false,0,0,0,0,2
CoreFileSystem.java:284,warn,true,IOException,NORMAL,FROMJDK,1,MultiMethods,FROMPROJECT,2,false,false,false,false,true,false,false,false,0,1,0,2,3
Configuration.java:1147,warn,true,SecurityException,RUNTIME,FROMJDK,1,UnknownMethod,UnknownMethod,0,true,false,false,false,false,false,false,false,0,0,0,0,17
Configuration.java:1936,warn,true,PatternSyntaxException,RUNTIME,FROMJDK,1,Pattern.compile,FROMJDK,1,false,false,false,false,false,true,false,true,0,0,0,1,1
Configuration.java:3174,error,true,IOException,NORMAL,FROMJDK,1,MultiMethods,MIXED,9,false,false,false,false,true,false,true,true,0,0,0,1,90
Configuration.java:3177,error,true,XMLStreamException,NORMAL,FROMJDK,1,MultiMethods,MIXED,7,false,false,false,false,true,false,true,true,0,0,0,1,90
Configuration.java:3202,trace,true,Exception,NORMAL,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,false,false,false,false,false,0,0,0,0,12
